Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
ZNF266,-0.196,0.0491,-3.9874,8.23E-05,0.8302
C8orf77,-0.215,0.0574,-3.7483,2.10E-04,0.8302
TRIM45,-0.1917,0.0525,-3.6521,3.03E-04,0.8302
TMED5,0.1504,0.0415,3.6254,3.34E-04,0.8302
ZSCAN16,-0.1664,0.0461,-3.6143,3.48E-04,0.8302
MYH7B,-0.2368,0.0659,-3.5948,3.74E-04,0.8302
APOM,-0.2067,0.0577,-3.5811,3.94E-04,0.8302
KCNK13,0.1979,0.0555,3.5681,4.13E-04,0.8302
TMEM44,-0.1902,0.0535,-3.5581,4.28E-04,0.8302
PITPNM2,0.2023,0.0575,3.5184,4.95E-04,0.8302
HCG18,-0.1416,0.0412,-3.4401,6.56E-04,0.8302
IL6,0.2108,0.0615,3.4286,6.84E-04,0.8302
ATP6V0D1,0.185,0.0544,3.3992,7.59E-04,0.8302
SLC7A1,0.2045,0.0602,3.3978,7.63E-04,0.8302
TG,0.213,0.0631,3.3777,8.19E-04,0.8302
QKI,0.1379,0.0409,3.3727,8.33E-04,0.8302
TFE3,0.1359,0.0405,3.359,8.74E-04,0.8302
MCFD2,0.1366,0.0408,3.3457,9.16E-04,0.8302
PLXNB1,-0.1697,0.0509,-3.3359,9.47E-04,0.8302
DNAJB9,0.1579,0.0474,3.3307,9.65E-04,0.8302
GDF9,-0.1832,0.0552,-3.3177,1.01E-03,0.8302
WASH3P,-0.2119,0.0639,-3.3159,1.02E-03,0.8302
MAP2K3,0.151,0.0456,3.3108,1.03E-03,0.8302
ZSCAN21,-0.1518,0.0462,-3.2871,1.12E-03,0.8342
C3orf47,-0.1837,0.0562,-3.2664,1.20E-03,0.8342
MYO15B,-0.1877,0.0581,-3.2318,1.35E-03,0.8342
WASH7P,-0.1704,0.0527,-3.2307,1.36E-03,0.8342
SLC39A14,0.1676,0.052,3.2233,1.39E-03,0.8342
KLRF1,-0.1913,0.0596,-3.208,1.47E-03,0.8342
PCGF3,-0.1584,0.0495,-3.2026,1.50E-03,0.8342
EDEM1,0.1371,0.0429,3.1967,1.52E-03,0.8342
C7orf27,-0.1646,0.0515,-3.1951,1.53E-03,0.8342
C14orf176,-0.1896,0.0595,-3.1883,1.57E-03,0.8342
PAX5,0.1982,0.0625,3.1735,1.65E-03,0.8342
ECHDC2,-0.1641,0.0519,-3.1634,1.70E-03,0.8342
SIGLEC12,0.2077,0.0657,3.1611,1.72E-03,0.8342
DUSP3,0.1382,0.0438,3.1584,1.73E-03,0.8342
LOC91316,-0.1718,0.0547,-3.1375,1.86E-03,0.8342
WARS,0.1688,0.0543,3.1114,2.03E-03,0.8342
SIGLEC5,0.1819,0.0585,3.1099,2.04E-03,0.8342
WASH2P,-0.2015,0.0648,-3.1093,2.04E-03,0.8342
PPM1K,0.1694,0.0545,3.107,2.05E-03,0.8342
CCNYL1,0.1408,0.0454,3.1033,2.08E-03,0.8342
C14orf93,-0.1415,0.0457,-3.0982,2.11E-03,0.8342
